scopus_id,affiliation_name,affiliation_city,affiliation_country
SCOPUS_ID:84922621112,Peking University,Beijing,China
SCOPUS_ID:84913540802,Peking University,Beijing,China
SCOPUS_ID:84874892391,Peking University,Beijing,China
SCOPUS_ID:84857554831,Peking University,Beijing,China
SCOPUS_ID:77951239534,Peking University,Beijing,China
SCOPUS_ID:77952965850,Peking University,Beijing,China
SCOPUS_ID:64049088223,Peking University,Beijing,China
SCOPUS_ID:85009067177,Peking University,Beijing,China
SCOPUS_ID:85009089748,Human-Computer Communications Laboratory,Hong Kong,Hong Kong
SCOPUS_ID:33748942613,Peking University,Beijing,China
SCOPUS_ID:33748942613,Shenzhen Graduate School,Beijing,China
SCOPUS_ID:28344449200,Peking University,Beijing,China
SCOPUS_ID:84932626486,Peking University,Beijing,China
SCOPUS_ID:84932626486,Peking University,Beijing,China
SCOPUS_ID:84862532711,Peking University,Beijing,China
SCOPUS_ID:84875986602,Peking University,Beijing,China
SCOPUS_ID:79961183221,Peking University,Beijing,China
SCOPUS_ID:41149151953,Peking University,Beijing,China
SCOPUS_ID:27644584984,Peking University,Beijing,China
SCOPUS_ID:33644642078,Peking University,Beijing,China
SCOPUS_ID:14844347680,Peking University,Beijing,China
SCOPUS_ID:44649149026,Peking University,Beijing,China
SCOPUS_ID:33748533867,Peking University,Beijing,China
SCOPUS_ID:85009487616,Peking University,Beijing,China
SCOPUS_ID:84979277506,Peking University,Beijing,China
SCOPUS_ID:84925455386,Peking University,Beijing,China
SCOPUS_ID:84925455386,Peking University,Beijing,China
SCOPUS_ID:84896756341,Peking University,Beijing,China
SCOPUS_ID:85013792334,Peking University,Beijing,China
SCOPUS_ID:84952318145,Peking University,Beijing,China
SCOPUS_ID:84925437664,General Hospital of People's Liberation Army,Beijing,China
SCOPUS_ID:84889814894,General Hospital of People's Liberation Army,Beijing,China
SCOPUS_ID:84976433908,Peking University,Beijing,China
SCOPUS_ID:84872806616,Temple University,Philadelphia,United States
SCOPUS_ID:84877657079,Peking University,Beijing,China
SCOPUS_ID:80053575354,Peking University,Beijing,China
SCOPUS_ID:84919344050,Peking University,Beijing,China
SCOPUS_ID:84883228365,"College of Chemistry and Molecular Engineering, Peking University",Beijing,China
SCOPUS_ID:5144222697,Peking University,Beijing,China
SCOPUS_ID:19944383964,Peking University,Beijing,China
SCOPUS_ID:73849149957,Peking University,Beijing,China
SCOPUS_ID:33947281834,Peking University,Beijing,China
SCOPUS_ID:84866130591,Peking University,Beijing,China
SCOPUS_ID:77149147767,Peking University,Beijing,China
SCOPUS_ID:85018168756,Peking University,Beijing,China
SCOPUS_ID:85018168756,Peking University,Beijing,China
SCOPUS_ID:84881098761,Peking University,Beijing,China
SCOPUS_ID:84881098761,Peking University,Beijing,China
SCOPUS_ID:41049095497,Peking University,Beijing,China
SCOPUS_ID:33847160758,Peking University,Beijing,China
SCOPUS_ID:84964434434,Peking University,Beijing,China
SCOPUS_ID:84988228414,University of Science and Technology Liaoning,Anshan,China
SCOPUS_ID:84930339035,Chinese Academy of Sciences,Beijing,China
SCOPUS_ID:84930339035,Peking University,Beijing,China
SCOPUS_ID:84993090032,Peking University,Beijing,China
SCOPUS_ID:84940306017,Peking University,Beijing,China
SCOPUS_ID:84864821823,Peking University,Beijing,China
SCOPUS_ID:85011371212,Peking University,Beijing,China
SCOPUS_ID:85011371212,Peking University,Beijing,China
SCOPUS_ID:84995607545,Peking University,Beijing,China
SCOPUS_ID:84969165434,Peking University,Beijing,China
SCOPUS_ID:24044460187,Peking University,Beijing,China
SCOPUS_ID:24044458627,Peking University,Beijing,China
SCOPUS_ID:85013659831,Peking University,Beijing,China
SCOPUS_ID:84865049403,Peking University,Beijing,China
SCOPUS_ID:84959337680,Peking University,Beijing,China
SCOPUS_ID:85029851762,Tongji University,Shanghai,China
SCOPUS_ID:84975037734,Peking University,Beijing,China
SCOPUS_ID:85029828272,Peking University,Beijing,China
SCOPUS_ID:84962613856,Peking University,Beijing,China
SCOPUS_ID:84954223323,Peking University,Beijing,China
SCOPUS_ID:84907487896,Peking University,Beijing,China
SCOPUS_ID:85029645396,Peking University,Beijing,China
SCOPUS_ID:85021746580,Peking University,Beijing,China
